ID,ShowItemsByDropTag,ShowItemsByItemTag,DropTip,DescKey,DescTagKey,MainDropMax,IsMergeShow
999001,,,,,,10,false
999002,,,,,,1,false
999003,,,,,,1,false
999004,,,,,,1,false
999005,,,,,,1,false
999006,,,,,,1,false
999007,,,,,,1,false
999008,,,,,,1,false
999009,,,,,,1,false
14,,,,,,1,false
205,,,,,,1,
234,,,,,,1,false
236,,,,,,1,false
308,,,,,,1,false
145,EventCoin,,,,,1,false
146,EventCoin,,,,,1,false
147,EventCoin,,,,,1,false
148,EventCoin,,,,,1,false
803,,,,,,1,false
804,,,,,,1,false
805,,,,,,1,false
806,Upgrade,,,,,10,false
807,Upgrade,,,,,10,false
808,Upgrade,,,,,10,false
809,StarUp,,,,,5,false
810,StarUp,,,,,5,false
811,StarUp,,,,,5,false
812,DamageE,,,,,1,false
813,SupportE,,,,,1,false
814,TankE,,,,,1,false
815,,,,,,1,false
816,,,,,,1,false
817,,,,,,1,false
818,Badge,,,,,1,false
819,B_Training,,,,,1,false
820,A_Training,,,,,1,false
821,S_Training,,,,,1,false
822,SS_Training,,,,,1,false
823,EventCoin,,,,,1,false
824,Badge01,,,,,1,false
825,Badge,,,,,1,false
826,Shine_Skin,,,,,1,false
828,Training,,,,,1,false
829,Skill_Apex,,,,,1,false
830,S_Unlimitskill,,,,,1,false
850,skill_love,,,,,1,false
863,Damage_S_LimitGirl,,,,,1,false
864,Tank_S_LimitGirl,,,,,1,false
865,Support_S_LimitGirl,,,,,1,false
866,Damage_S_LimitGirl,,,,,1,false
867,Tank_S_LimitGirl,,,,,1,false
868,Support_S_LimitGirl,,,,,1,false
869,2nd_Skin,,,,,1,false
870,Training,,,,,1,false
871,skill_green,,,,,1,false
872,SS_17,,,,,1,false
873,SS_16,,,,,1,false
SpeG0001,Unlimitskill,,,,,1,false
SpeG0002,Skill_Apex,,,,,1,false
SpeG0003,Skill_Apex,,,,,1,false
SpeG0004,Skill_Apex,,,,,1,false
SpeG0005,skill_blue,,,,,1,false
SpeG0006,skill_blue,,,,,1,false
SpeG0007,skill_blue,,,,,1,false
SpeG0008,Unlimitskill,,,,,1,false
SpeG0009,Unlimitskill,,,,,1,false
SpeG0010,Unlimitskill,,,,,1,false
SpeG0011,RandomSex,,,,,1,false
SpeG0012,Sex_02,,,,,1,false
SpeG0013,Sex_01,,,,,1,false
SpeG0014,Sex_03,,,,,1,false
SpeG0015,Sex_04,,,,,1,false
SpeG0016,Sex_05,,,,,1,false
SpeG0017,Sex_06,,,,,1,false
SpeG0019,Skill_Apex,,,,,1,false
SpeG0021,ChinaGold_Skin,,,,,1,false
SpeG0023,skill_green,,,,,1,false
SpeG0024,Skill_Apex,,,,,1,false
SpeG0025,Skill_Apex,,,,,1,false
SpeG0026,Skill_Apex,,,,,1,false
SpeG0027,Skill_Apex,,,,,1,false
SpeG0028,Fairy,,,,,1,false
SpeG0029,skill_green,,,,,2,false
SpeG0030,skill_green,,,,,4,false
SpeG0031,skill_green,,,,,6,false
SpeG0032,skill_green,,,,,8,false
903,27001_SS,,,,,1,false
910,,,,,,3,false
911,,,,,,8,false
912,,,,,,12,false
913,,,,,,8,false
914,,,,,,12,false
915,,,,,,3,false
916,skill_blue,,,,,5,false
917,skill_green,,,,,5,false
918,SS_3,,,,,1,false
919,SS_1,,,,,1,false
920,SS_2,,,,,1,false
921,SS_4,,,,,1,false
922,SS_5,,,,,1,false
923,SS_6,,,,,1,false
924,skill_blue,,,,,10,false
925,skill_green,,,,,10,false
926,skill_blue,,,,,10,false
927,skill_green,,,,,10,false
928,SS_3,,,,,1,false
929,SS_1,,,,,1,false
930,SS_2,,,,,1,false
931,SS_4,,,,,1,false
932,SS_5,,,,,1,false
933,SS_6,,,,,1,false
934,Girl,,,,,1,false
935,A_Girl,,,,,1,false
936,Ring,,,,,1,false
937,S_Girl-A_Girl,,,,,1,false
938,A_Girl,,,,,1,false
939,Skin,,,,,1,false
940,Skin,,,,,1,false
941,skill_blue,,,,,1,false
942,Sex,,,,,1,false
943,B_Unlimitskill,,,,,1,false
944,A_Unlimitskill,,,,,1,false
945,S_Unlimitskill,,,,,1,false
946,SS_7,,,,,1,false
947,SS_7,,,,,1,false
948,S_GirlView,,,,,1,false
949,3001-4001-6001-8001-11001,,,,,1,false
950,SS_8,,,,,1,false
951,SS_8,,,,,1,false
952,Upgrade,,,,,1,false
953,Upgrade,,,,,1,false
954,StarUp,,,,,1,false
955,StarUp,,,,,1,false
956,Upgrade,,,,,1,false
957,Accessory,,,,,1,false
958,StarUp,,,,,1,false
959,S_GirlView,,,,,1,false
960,SS_9,,,,,1,false
961,SS_9,,,,,1,false
962,Accessory,,,,,1,false
963,SS_10,,,,,1,false
964,SS_10,,,,,1,false
965,SS_11,,,,,1,false
966,SS_11,,,,,1,false
967,1st_Skin,,,,,1,false
968,SS_12,,,,,1,false
969,SS_12,,,,,1,false
970,S_GiftView,,,,,1,false
971,S_GiftView,,,,,1,false
972,skill_blue,,,,,15,false
973,skill_blue,,,,,1,false
974,ChinaGold_Skin,,,,,1,false
975,SS_13,,,,,1,false
976,SS_13,,,,,1,false
977,skill_green,,,,,1,false
978,skill_green,,,,,1,false
979,skill_green,,,,,1,false
980,skill_green,,,,,1,false
981,skill_green,,,,,1,false
982,Halloween_Skin,,,,,1,false
983,SS_14,,,,,1,false
984,SS_15,,,,,1,false
985,SS_16,,,,,1,false
986,1st_Skin,,,,,1,false
987,SS_17,,,,,1,false
988,SS_18,,,,,1,false
989,SS_18,,,,,1,false
990,SS_19,,,,,1,false
991,SS_20,,,,,1,false
992,SS_19,,,,,1,false
993,WDSkin,,,,,1,false
994,SS_20,,,,,1,false
995,SS_21,,,,,1,false
996,SS_21,,,,,1,false
997,SS_22,,,,,1,false
998,SS_22,,,,,1,false
999,NormalS_Girl,,,,,1,false
45001,SS_23,,,,,1,false
45002,SS_23,,,,,1,false
45003,SS_24,,,,,1,false
45004,SS_24,,,,,1,false
45005,SS_25,,,,,1,false
45006,SS_25,,,,,1,false
45007,SS_26,,,,,1,false
45008,SS_26,,,,,1,false
45009,SS_27,,,,,1,false
45010,SS_27,,,,,1,false
45011,2nd_Skin,,,,,1,false
45012,DS_AG_CS,,,,,1,false
45013,DS_LAG_CS,,,,,1,false
45014,skill_blue,,,,,1,false
45015,skill_blue,,,,,1,false
45016,skill_blue,,,,,1,false
45017,Skill_Apex,,,,,1,false
45018,Skill_Apex,,,,,1,false
45019,Unlimitskill,,,,,1,false
45020,Equip,,,,,1,false
45021,SS_28,,,,,1,false
45022,SS_28,,,,,1,false
45023,SS_29,,,,,1,false
45024,SS_29,,,,,1,false
45025,DamageAccessory,,,,,1,false
45026,TankAccessory,,,,,1,false
45027,SupportAccessory,,,,,1,false
45028,SS_30,,,,,1,false
45029,SS_30,,,,,1,false
45030,SS_31,,,,,1,false
45031,SS_31,,,,,1,false
45032,SS_32,,,,,1,false
45033,SS_32,,,,,1,false
45034,SS_33,,,,,1,false
45035,SS_33,,,,,1,false
45036,SS_34,,,,,1,false
45037,SS_34,,,,,1,false
45038,SS_35,,,,,1,false
45039,SS_35,,,,,1,false
45040,SS_36,,,,,1,false
45041,SS_36,,,,,1,false
45042,SS_37,,,,,1,false
45043,SS_37,,,,,1,false
45044,SS_38,,,,,1,false
45045,SS_38,,,,,1,false
45046,SS_39,,,,,1,false
45047,SS_39,,,,,1,false
45048,SS_40,,,,,1,false
45049,SS_40,,,,,1,false
40001,10001_Training,,,,,1,false
40002,11001_Training,,,,,1,false
40003,2001_Training,,,,,1,false
