ID,DropType,DropRefrence,Rate,VipLimit,Count,Min,Max,VersionControls,ShowRateName,ShowRateGroup,ShowRate
999001,Tag,Sex_02,0.005,,,1,1,,T_DropMain_ShowRateName_999001,T_DropMain_ShowRateGroup_999001,0.005
999001,Item,350004,0.04,,,3,3,,T_DropMain_ShowRateName_999001_1,T_DropMain_ShowRateGroup_999001_1,0.04
999001,Item,300025,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_2,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300026,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_3,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300027,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_4,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300028,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_5,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300033,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_6,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300034,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_7,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300035,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_8,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300036,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_9,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300041,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_10,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300042,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_11,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300043,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_12,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300044,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_13,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300057,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_14,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300058,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_15,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300059,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_16,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300060,0.00138888888888889,,,1,1,,T_DropMain_ShowRateName_999001_17,T_DropMain_ShowRateGroup_999001_2,0.00139
999001,Item,300003,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_18,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300004,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_19,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300009,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_20,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300010,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_21,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300011,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_22,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300012,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_23,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300049,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_24,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300050,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_25,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300051,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_26,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,300052,0.0025,,,1,1,,T_DropMain_ShowRateName_999001_27,T_DropMain_ShowRateGroup_999001_2,0.0025
999001,Item,150007,0.0291666666666667,,,20,20,,T_DropMain_ShowRateName_999001_28,T_DropMain_ShowRateGroup_999001_28,0.02917
999001,Item,150009,0.0291666666666667,,,20,20,,T_DropMain_ShowRateName_999001_29,T_DropMain_ShowRateGroup_999001_28,0.02917
999001,Item,150011,0.0291666666666667,,,20,20,,T_DropMain_ShowRateName_999001_30,T_DropMain_ShowRateGroup_999001_28,0.02917
999001,Item,150015,0.0291666666666667,,,20,20,,T_DropMain_ShowRateName_999001_31,T_DropMain_ShowRateGroup_999001_28,0.02917
999001,Item,150001,0.05775,,,20,20,,T_DropMain_ShowRateName_999001_32,T_DropMain_ShowRateGroup_999001_28,0.05775
999001,Item,150003,0.05775,,,20,20,,T_DropMain_ShowRateName_999001_33,T_DropMain_ShowRateGroup_999001_28,0.05775
999001,Item,150013,0.0595,,,20,20,,T_DropMain_ShowRateName_999001_34,T_DropMain_ShowRateGroup_999001_28,0.0595
999001,Tag,skill_green,0.2,,20,1,1,,T_DropMain_ShowRateName_999001_35,T_DropMain_ShowRateName_999001_35,0.2
999001,Item,350002,0.1,,,3,3,,T_DropMain_ShowRateName_999001_36,T_DropMain_ShowRateGroup_999001_36,0.1
999001,Item,350003,0.133333333333333,,,3,3,,T_DropMain_ShowRateName_999001_37,T_DropMain_ShowRateGroup_999001_36,0.13333
999001,Item,200012,0.00182777777777778,,,10,10,,T_DropMain_ShowRateName_999001_38,T_DropMain_ShowRateGroup_999001_38,0.00183
999001,Item,200015,0.00182777777777778,,,10,10,,T_DropMain_ShowRateName_999001_39,T_DropMain_ShowRateGroup_999001_38,0.00183
999001,Item,200018,0.00182777777777778,,,10,10,,T_DropMain_ShowRateName_999001_40,T_DropMain_ShowRateGroup_999001_38,0.00183
999001,Item,200024,0.00182777777777778,,,10,10,,T_DropMain_ShowRateName_999001_41,T_DropMain_ShowRateGroup_999001_38,0.00183
999001,Item,200011,0.0041125,,,10,10,,T_DropMain_ShowRateName_999001_42,T_DropMain_ShowRateGroup_999001_38,0.00411
999001,Item,200014,0.0041125,,,10,10,,T_DropMain_ShowRateName_999001_43,T_DropMain_ShowRateGroup_999001_38,0.00411
