Type,ID,PosX,PosY,PosZ,MonsterID,Camp,ToPosX,ToPosY,ToPosZ
4,,72.04,,-37.9,,2,,,
4,,-74,,43,,1,,,
1,,40.2,1,-9.6,,0,,,
1,,-55.9,1,28,,0,,,
1,,37.6,1,50.4,,0,,,
1,,-6.6,1,-26.6,,0,,,
1,,52.9,1,-2.1,,0,,,
1,,-18.72,1,3.71,,0,,,
1,,23,1,-4.6,,0,,,
1,,-52.3,1,.3,,0,,,
1,,53.2,1,-32.2,,0,,,
1,,-37.4,1,54.5,,0,,,
1,,34.4,1,-32.6,,0,,,
1,,-4.7,1,54.6,,0,,,
1,,59.51,1,-13.84,,0,,,
1,,-39.4,1,-15.8,,0,,,
1,,56.9,1,7.6,,0,,,
1,,7.4,1,14.2,,0,,,
1,,69.7,1,-.4,,0,,,
1,,-34.2,1,33.3,,0,,,
1,,51.2,1,-43.9,,0,,,
1,,-40,1,12.9,,0,,,
2,,-87.5,1.5,41,,1,-59,1.5,-60.5
2,,89.55,1.5,-37.43,,2,36.85,1.5,62.27
0,,60.4,1.5,-7,,0,36.85,1.5,62.27
0,,7.9,1.5,44.3,,0,36.85,1.5,62.27
0,,23,1.5,-48.1,,0,36.85,1.5,62.27
0,,-51.6,1.5,20.5,,0,36.85,1.5,62.27
0,,44.6,1.5,10.8,,0,36.85,1.5,62.27
0,,-48.1,1.5,-26.6,,0,36.85,1.5,62.27
0,,-5.3,1.5,63.6,,0,36.85,1.5,62.27
0,,22.4,1.5,-16.6,,0,36.85,1.5,62.27
0,,-50.1,1.5,42.5,,0,36.85,1.5,62.27
0,,60.4,1.5,-39.4,,0,36.85,1.5,62.27
0,,-29.5,1.5,-24.9,,0,36.85,1.5,62.27
0,,49,1.5,-12.9,,0,36.85,1.5,62.27
0,,-39.1,1.5,-58.3,,0,36.85,1.5,62.27
0,,37.4,1.5,33.5,,0,36.85,1.5,62.27
0,,-5,1.5,-.2,,0,36.85,1.5,62.27
0,,38.48,1.5,-.02,,0,36.85,1.5,62.27
