Type,ID,PosX,PosY,PosZ,MonsterID,Camp,ToPosX,ToPosY,ToPosZ
2,,90.04,1,,,2,9.98,4,39.92
2,,-93.7,1,,,1,-9.76,4,-67.11
0,,-8.6,1,18.58,,0,,,
0,,10.7,1,19.07,,0,,,
0,,10.1,1,52.83,,0,,,
0,,-8.8,1,-4.58,,0,,,
0,,-9.9,1,-68.47,,0,,,
0,,32.57,1,40.02,,0,,,
0,,9.96,1,59.91,,0,,,
0,,66.37,1,52.15,,0,,,
0,,47.35,1,34.31,,0,,,
0,,20.33,1,-66.83,,0,,,
0,,-9.31,1,6.36,,0,,,
0,,-46.72,1,-36.52,,0,,,
0,,48.64,1,-61.05,,0,,,
0,,29.93,1,-42.15,,0,,,
0,,47.44,1,-18.64,,0,,,
1,,-9.5,1,-35.45,,0,,,
1,,.78,1,-13.28,,0,,,
1,,16.65,1,-51.84,,0,,,
1,,-17.25,1,39.18,,0,,,
1,,.05,1,33.46,,0,,,
1,,-17,1,27.68,,0,,,
1,,-9.15,1,10.73,,0,,,
1,,-38.46,1,4.99,,0,,,
1,,-55.48,1,-.49,,0,,,
1,,-38.32,1,10.85,,0,,,
1,,8.8,1,-54.67,,0,,,
1,,-26.18,1,-53.71,,0,,,
1,,-36.62,1,-23.69,,0,,,
1,,-55.79,1,-12.62,,0,,,
1,,11.28,1,-6.82,,0,,,
1,,33.59,1,8.46,,0,,,
1,,39.3,1,34.27,,0,,,
1,,-38.32,1,27.82,,0,,,
1,,-38.56,1,33.48,,0,,,
1,,-38.33,1,39.33,,0,,,
4,,81.8,,,,1,,,
4,,-83,,,,2,,,
